METER_ID,READ_TIME,READ_VALUE
2865,01/01/2020 00:00,47802
2865,01/01/2020 01:00,47802
2865,01/01/2020 02:00,47802
2865,01/01/2020 03:00,47802
2865,01/01/2020 04:00,47802
2865,01/01/2020 05:00,47802
2865,01/01/2020 06:00,47811
2865,01/01/2020 07:00,47817
2865,01/01/2020 08:00,47858
2865,01/01/2020 09:00,47863
2865,01/01/2020 10:00,47863
2865,01/01/2020 11:00,47863
2865,01/01/2020 12:00,47954
2865,01/01/2020 13:00,47955
2865,01/01/2020 14:00,47957
2865,01/01/2020 15:00,47957
2865,01/01/2020 16:00,47973
2865,01/01/2020 17:00,47980
2865,01/01/2020 18:00,47984
2865,01/01/2020 19:00,47984
2865,01/01/2020 20:00,47984
2865,01/01/2020 21:00,47984
2865,01/01/2020 22:00,47984
2865,01/01/2020 23:00,47984
2865,02/01/2020 00:00,47984
2865,02/01/2020 01:00,47984
2865,02/01/2020 02:00,47984
2865,02/01/2020 03:00,47984
2865,02/01/2020 04:00,47987
2865,02/01/2020 05:00,47988
2865,02/01/2020 06:00,47998
2865,02/01/2020 07:00,47998
2865,02/01/2020 08:00,47998
2865,02/01/2020 09:00,47998
2865,02/01/2020 10:00,47998
2865,02/01/2020 11:00,47998
2865,02/01/2020 12:00,47998
2865,02/01/2020 13:00,47998
2865,02/01/2020 14:00,47998
2865,02/01/2020 15:00,47998
2865,02/01/2020 16:00,47998
2865,02/01/2020 17:00,47998
2865,02/01/2020 18:00,47998
2865,02/01/2020 19:00,47998
2865,02/01/2020 20:00,48000
2865,02/01/2020 21:00,48000
2865,02/01/2020 22:00,48000
2865,02/01/2020 23:00,48000
2865,03/01/2020 00:00,48000
2865,03/01/2020 01:00,48000
2865,03/01/2020 02:00,48000
2865,03/01/2020 03:00,48000
2865,03/01/2020 04:00,48000
2865,03/01/2020 05:00,48008
2865,03/01/2020 06:00,48010
2865,03/01/2020 07:00,48010
2865,03/01/2020 08:00,48010
2865,03/01/2020 09:00,48013
2865,03/01/2020 10:00,48015
2865,03/01/2020 11:00,48016
2865,03/01/2020 12:00,48018
2865,03/01/2020 13:00,48019
2865,03/01/2020 14:00,48019
2865,03/01/2020 15:00,48019
2865,03/01/2020 16:00,48025
2865,03/01/2020 17:00,48071
2865,03/01/2020 18:00,48072
2865,03/01/2020 19:00,48073
2865,03/01/2020 20:00,48080
2865,03/01/2020 21:00,48080
2865,03/01/2020 22:00,48080
2865,03/01/2020 23:00,48080
2865,04/01/2020 00:00,48080
2865,04/01/2020 01:00,48080
2865,04/01/2020 02:00,48080
2865,04/01/2020 03:00,48080
2865,04/01/2020 04:00,48080
2865,04/01/2020 05:00,48080
2865,04/01/2020 06:00,48080
2865,04/01/2020 07:00,48085
2865,04/01/2020 08:00,48088
2865,04/01/2020 09:00,48088
2865,04/01/2020 10:00,48100
2865,04/01/2020 11:00,48100
2865,04/01/2020 12:00,48100
2865,04/01/2020 13:00,48100
2865,04/01/2020 14:00,48100
2865,04/01/2020 15:00,48101
2865,04/01/2020 16:00,48102
2865,04/01/2020 17:00,48106
2865,04/01/2020 18:00,48106
2865,04/01/2020 19:00,48106
2865,04/01/2020 20:00,48108
2865,04/01/2020 21:00,48108
2865,04/01/2020 22:00,48108
2865,04/01/2020 23:00,48108
2865,05/01/2020 00:00,48108
2865,05/01/2020 01:00,48108
2865,05/01/2020 02:00,48109
2865,05/01/2020 03:00,48109
2865,05/01/2020 04:00,48109
2865,05/01/2020 05:00,48109
2865,05/01/2020 06:00,48124
2865,05/01/2020 07:00,48124
2865,05/01/2020 08:00,48124
2865,05/01/2020 09:00,48124
2865,05/01/2020 10:00,48125
2865,05/01/2020 11:00,48125
2865,05/01/2020 12:00,48142
2865,05/01/2020 13:00,48158
2865,05/01/2020 14:00,48158
2865,05/01/2020 15:00,48159
2865,05/01/2020 16:00,48159
2865,05/01/2020 17:00,48161
2865,05/01/2020 18:00,48172
2865,05/01/2020 19:00,48172
2865,05/01/2020 20:00,48172
2865,05/01/2020 21:00,48172
2865,05/01/2020 22:00,48172
2865,05/01/2020 23:00,48172
2865,06/01/2020 00:00,48172
2865,06/01/2020 01:00,48172
2865,06/01/2020 02:00,48172
2865,06/01/2020 03:00,48172
2865,06/01/2020 04:00,48173
2865,06/01/2020 05:00,48173
2865,06/01/2020 06:00,48173
2865,06/01/2020 07:00,48173
2865,06/01/2020 08:00,48176
2865,06/01/2020 09:00,48187
2865,06/01/2020 10:00,48187
2865,06/01/2020 11:00,48187
2865,06/01/2020 12:00,48187
2865,06/01/2020 13:00,48187
2865,06/01/2020 14:00,48187
2865,06/01/2020 15:00,48190
2865,06/01/2020 16:00,48190
2865,06/01/2020 17:00,48224
2865,06/01/2020 18:00,48227
2865,06/01/2020 19:00,48231
2865,06/01/2020 20:00,48231
2865,06/01/2020 21:00,48231
2865,06/01/2020 22:00,48231
2865,06/01/2020 23:00,48231
2865,07/01/2020 00:00,48231
2865,07/01/2020 01:00,48231
2865,07/01/2020 02:00,48231
2865,07/01/2020 03:00,48231
2865,07/01/2020 04:00,48231
2865,07/01/2020 05:00,48231
2865,07/01/2020 06:00,48234
2865,07/01/2020 07:00,48244
2865,07/01/2020 08:00,48244
2865,07/01/2020 09:00,48245
2865,07/01/2020 10:00,48273
2865,07/01/2020 11:00,48329
2865,07/01/2020 12:00,48330
2865,07/01/2020 13:00,48331
2865,07/01/2020 14:00,48332
2865,07/01/2020 15:00,48338
2865,07/01/2020 16:00,48342
2865,07/01/2020 17:00,48342
2865,07/01/2020 18:00,48355
2865,07/01/2020 19:00,48356
2865,07/01/2020 20:00,48362
2865,07/01/2020 21:00,48362
2865,07/01/2020 22:00,48362
2865,07/01/2020 23:00,48362
2865,08/01/2020 00:00,48362
2865,08/01/2020 01:00,48362
2865,08/01/2020 02:00,48362
2865,08/01/2020 03:00,48362
2865,08/01/2020 04:00,48362
2865,08/01/2020 05:00,48362
2865,08/01/2020 06:00,48363
2865,08/01/2020 07:00,48363
2865,08/01/2020 08:00,48372
2865,08/01/2020 09:00,48376
2865,08/01/2020 10:00,48376
2865,08/01/2020 11:00,48376
2865,08/01/2020 12:00,48383
2865,08/01/2020 13:00,48384
2865,08/01/2020 14:00,48386
2865,08/01/2020 15:00,48386
2865,08/01/2020 16:00,48390
